location_id,occupied_slot,waiting_to_be_charged,estimated_time_to_charge,station_id
12,"[0, 0, 0, 0, '2c16b147-7e69-467e-9fd0-23949eb9ab5a']",[],"[0, 0, 0, 0, np.float64(5.0336637069099766)]",53b1d18f-4445-47b8-940f-fbfd9d800d0d
225,"['cb98f6ee-1e9f-4da7-8453-97cf6d38d8de', 0, 0, 0, 0]",[],"[np.float64(103.01908205898064), 0, 0, 0, 0]",68b8956d-94dd-4274-a71f-b29f35037430
174,"['caf02e7a-834c-4b2f-a1b5-c4a7753100d4', 'a8f760e1-f743-42d1-8936-7be9cf34e0d7', '7ea476ed-8f36-45d8-a3c2-e22158c23e2c', '4f5a222d-174d-45a1-9d36-1d6fdf139682', '618e110a-39be-4a62-9e15-cdaba3a62d26']",[],"[np.float64(32.673723963151986), np.float64(42.233614657020325), np.float64(76.55674256684307), np.float64(168.20265744407686), np.float64(170.02283743906168)]",1e23ae30-a4a2-41db-b70d-5f096eee78b2
226,"[0, '7247ee4b-bc4c-40dc-85c4-c4eebb333279', 'ae3119e0-f746-4716-a2ef-8c39bab529f6', '8b4e090b-319a-441a-937b-159a8793cb7b', 0]",[],"[0, np.float64(19.631286912983512), np.float64(44.5775375109566), np.float64(121.54737920180946), 0]",91908065-9dd3-4ade-b3de-c6434d310026
72,"['b3b7a558-2b60-4c86-9f24-23ddc075da88', '825b313c-1ba9-4b27-aab3-6c06ee52a948', 'f84c64d1-512a-4ef7-a08e-4d734022ceeb', 0, 0]",[],"[np.float64(46.44343723300412), np.float64(150.8644841248451), np.float64(191.43348578996734), 0, 0]",f9463357-8a89-4148-9414-0226d6eab583
74,"['7026e438-a2f2-48f9-a96b-6adb0bf679d3', '2095c417-d061-4ce3-9468-ef3ef8ca949f', 'b6ae4b65-17d2-4739-b00c-e82014d830e3', '77ec3e89-60f1-42d5-a13b-92d86e77c9e3', 0]",[],"[np.float64(30.08073667918086), np.float64(74.16559006682058), np.float64(166.55136064743323), np.float64(70.5676270140001), 0]",de1e0b3a-3a17-425c-8ea3-9a3bbbd599b4
209,"['930ca9df-2265-4e81-b58f-b825bf9f62fd', 0, 0, 0, 0]",[],"[np.float64(82.41204253583953), 0, 0, 0, 0]",abf5e0e8-ee7d-4df4-b642-477729f22432
35,"['73b6ab9b-97b8-4c5c-8cb9-cd762cc168e3', 0, 0, 0, 0]",[],"[np.float64(209.2687254910467), 0, 0, 0, 0]",c279f1b6-4b39-4fc4-afb6-750061aeecfc
73,"['2bba3308-c59c-4de1-b0f3-9a67cc43b3e2', 'afaf5910-9039-4ecc-9434-4e8da23edcaf', 'cd1d7b14-a083-445d-b56b-bbbda0758f6a', '14d654aa-d7ff-4adc-9fae-e325ca77f07e', '0e1d5323-4574-46d2-a11d-c65707327e2a']",[],"[np.float64(126.25232728162132), np.float64(0.6283492831156536), np.float64(172.24196936733202), np.float64(2.815389408293072), np.float64(101.73794819376928)]",0aeed7d5-0fcf-4236-b307-e5504ccaa104
142,"[0, 'e08dfa50-4bc2-4753-9129-1ebc3ddcfa00', '763fe767-8093-47b1-a76d-2b68ebf403d4', 0, 0]",[],"[0, np.float64(61.82660265286012), np.float64(169.7060137852469), 0, 0]",bb310e3d-ee98-4234-a5aa-199c7a46c4b9
